Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2020,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,984,14.9
2020,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,"4,174",63.2
2020,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"3,043",46.1
2020,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,"1,144",17.3
2020,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,43,0.7
2020,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,"1,084",16.4
2020,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"3,456",52.3
2020,March,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"2,130",32.2
2020,March,B Property and deception offences,B10 Arson,B12 Cause a bushfire,134,2.0
2020,March,B Property and deception offences,B10 Arson,B19 Other fire related offences,541,8.2
2020,March,B Property and deception offences,B20 Property damage,B21 Criminal damage,"37,665",570.2
2020,March,B Property and deception offences,B20 Property damage,B22 Graffiti,"3,090",46.8
2020,March,B Property and deception offences,B20 Property damage,B29 Other property damage offences,478,7.2
2020,March,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"4,271",64.7
2020,March,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,136,2.1
2020,March,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,1,0.0
2020,March,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"25,060",379.3
2020,March,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"13,947",211.1
2020,March,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,87,1.3
